epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.438,0.80511,0.85463,0.8229,0.97419,0.9345,0.71976,0.73539,0.57685,0.9345,0.71976,0.73534,0.60919,1.15625,1.13752,1.79702,1.42481,0.000664717,0.000664717,0.000664717
2,238.231,0.78259,0.73128,0.60547,0.94038,0.17989,0.09199,0.07184,0.0268,0.37378,0.05341,0.04792,0.0132,2.91603,162.136,4.71029,3.04954,0.00132479,0.00132479,0.00132479
3,355.761,0.75367,0.70416,0.56901,0.94238,0.99309,0.98516,0.99394,0.86021,0.99055,0.9822,0.99389,0.87767,0.59422,0.47744,0.47453,0.96139,0.00197827,0.00197827,0.00197827
4,475.479,0.71068,0.65405,0.52886,0.92836,0.99921,0.99703,0.995,0.87004,0.99921,0.99703,0.995,0.83719,0.53586,0.49791,0.4287,0.97129,0.0019703,0.0019703,0.0019703
5,592.173,0.65997,0.56077,0.48072,0.9094,0.99812,0.9822,0.99465,0.94544,0.99812,0.9822,0.99465,0.89672,0.41682,0.4094,0.4281,0.92274,0.0019604,0.0019604,0.0019604
6,708.859,0.57314,0.55896,0.44295,0.88475,0.99679,0.99703,0.995,0.94131,0.99679,0.99703,0.995,0.90154,0.42229,0.49063,0.29347,0.92182,0.0019505,0.0019505,0.0019505
7,825.58,0.5615,0.51794,0.40501,0.88346,0.99653,0.99703,0.995,0.95172,0.99653,0.99703,0.995,0.91571,0.38574,0.38277,0.27627,0.91563,0.0019406,0.0019406,0.0019406
8,942.316,0.53529,0.49036,0.38966,0.8752,1,0.99683,0.995,0.88242,1,0.99683,0.995,0.88434,0.49424,0.41284,0.35233,0.92018,0.0019307,0.0019307,0.0019307
9,1058.95,0.46478,0.47058,0.35967,0.86099,1,0.99393,0.995,0.96222,1,0.99393,0.995,0.934,0.31684,0.38108,0.29417,0.89012,0.0019208,0.0019208,0.0019208
10,1175.7,0.44195,0.46185,0.33339,0.8516,0.99964,0.99703,0.995,0.886,0.99964,0.99703,0.995,0.91214,0.54509,0.33066,0.32599,0.92283,0.0019109,0.0019109,0.0019109
11,1292.28,0.44829,0.45724,0.34397,0.84295,0.99408,0.99629,0.99488,0.9527,0.99408,0.99629,0.99488,0.89714,0.34952,0.50101,0.33634,0.89947,0.001901,0.001901,0.001901
12,1408.83,0.43652,0.41982,0.33076,0.84185,0.99975,0.99703,0.995,0.97566,0.99975,0.99703,0.995,0.91987,0.29727,0.32617,0.25936,0.883,0.0018911,0.0018911,0.0018911
13,1525.38,0.43847,0.42209,0.32354,0.84952,0.99977,0.99703,0.995,0.97182,0.99977,0.99703,0.995,0.92258,0.35369,0.33213,0.28378,0.89391,0.0018812,0.0018812,0.0018812
14,1641.96,0.404,0.39962,0.30412,0.82723,0.99961,0.99703,0.995,0.96284,0.99961,0.99703,0.995,0.93714,0.31321,0.32954,0.27885,0.87737,0.0018713,0.0018713,0.0018713
